station,date,prcp,tobs
USC00519397,7/8/2010,0.03,76
USC00519397,7/9/2010,0.06,74
USC00519397,7/10/2010,0.09,76
USC00519397,7/11/2010,0,78
USC00519397,7/12/2010,0,77
USC00519397,7/13/2010,0,80
USC00519397,7/16/2010,,78
USC00519397,7/17/2010,0.02,76
USC00519397,7/18/2010,0,77
USC00519397,7/19/2010,0.04,77
USC00519397,7/21/2010,0,80
USC00519397,7/22/2010,0,78
USC00519397,7/24/2010,0,80
USC00519397,7/25/2010,0,79
USC00519397,7/26/2010,0,78
USC00519397,7/27/2010,0,79
USC00519397,7/28/2010,0,78
USC00519397,7/29/2010,0,79
USC00519397,7/30/2010,0,78
USC00519397,7/31/2010,0.02,77
USC00519397,8/1/2010,0.04,77
USC00519397,8/2/2010,0.01,76
USC00519397,8/3/2010,0.02,77
USC00519397,8/4/2010,0.07,77
USC00519397,8/5/2010,0.08,75
USC00519397,8/6/2010,0.03,75
USC00519397,8/7/2010,0,80
USC00519397,8/8/2010,0,77
USC00519397,8/9/2010,0,78
USC00519397,8/10/2010,0,78
USC00519397,8/11/2010,0,77
USC00519397,8/12/2010,0,76
USC00519397,8/13/2010,0,78
USC00519397,8/14/2010,0,78
USC00519397,8/15/2010,0.01,76
USC00519397,8/16/2010,0,76
USC00519397,8/17/2010,0.05,74
USC00519397,8/18/2010,0,77
USC00519397,8/19/2010,0,79
USC00519397,8/20/2010,0,79
USC00519397,8/21/2010,0,79
USC00519397,8/22/2010,0,75
USC00519397,8/23/2010,0.01,87
USC00519397,8/24/2010,0,78
USC00519397,8/25/2010,0.04,76
USC00519397,8/26/2010,0.03,78
USC00519397,8/27/2010,0,78
USC00519397,8/28/2010,0.04,79
USC00519397,8/29/2010,0,78
USC00519397,8/30/2010,0,78
USC00519397,8/31/2010,0,80
USC00519397,9/1/2010,0,77
USC00519397,9/2/2010,0.02,76
USC00519397,9/3/2010,0.04,78
USC00519397,9/4/2010,0.01,77
USC00519397,9/5/2010,0,77
USC00519397,9/6/2010,0,77
USC00519397,9/7/2010,0.06,76
USC00519397,9/8/2010,0,78
USC00519397,9/9/2010,0,78
USC00519397,9/10/2010,0,78
USC00519397,9/11/2010,0.05,78
USC00519397,9/12/2010,0,74
USC00519397,9/13/2010,0,78
USC00519397,9/14/2010,0,79
USC00519397,9/15/2010,0,77
USC00519397,9/16/2010,0,79
USC00519397,9/17/2010,0,78
USC00519397,9/19/2010,0,78
USC00519397,9/20/2010,0,78
USC00519397,9/21/2010,0,79
USC00519397,9/22/2010,0.04,76
USC00519397,9/23/2010,0,78
USC00519397,9/24/2010,0,78
USC00519397,9/25/2010,0,79
USC00519397,9/26/2010,0,74
USC00519397,9/27/2010,0,75
USC00519397,9/28/2010,0,75
USC00519397,9/29/2010,0,78
USC00519397,9/30/2010,0.57,73
USC00519397,10/1/2010,0.31,78
USC00519397,10/2/2010,0.03,78
USC00519397,10/3/2010,0,78
USC00519397,10/4/2010,0.06,78
USC00519397,10/5/2010,0,80
USC00519397,10/6/2010,0,79
USC00519397,10/7/2010,0,79
USC00519397,10/8/2010,0,78
USC00519397,10/9/2010,0,78
USC00519397,10/10/2010,0,78
USC00519397,10/11/2010,0,77
USC00519397,10/12/2010,0,79
USC00519397,10/13/2010,0,78
USC00519397,10/15/2010,0,78
USC00519397,10/16/2010,0,77
USC00519397,10/17/2010,0,76
USC00519397,10/18/2010,0,76
USC00519397,10/19/2010,0.07,72
USC00519397,10/20/2010,0,74
USC00519397,10/21/2010,0,80
USC00519397,10/22/2010,0,77
USC00519397,10/23/2010,0,75
USC00519397,10/24/2010,0,78
USC00519397,10/25/2010,0,78
USC00519397,10/26/2010,0.07,76
USC00519397,10/27/2010,0.05,79
USC00519397,10/28/2010,0.06,78
USC00519397,10/29/2010,0.03,78
USC00519397,10/30/2010,0.02,77
USC00519397,10/31/2010,0,76
USC00519397,11/1/2010,0.01,75
USC00519397,11/2/2010,0.01,73
USC00519397,11/4/2010,,73
USC00519397,11/5/2010,0,77
USC00519397,11/6/2010,0,76
USC00519397,11/7/2010,0,77
USC00519397,11/8/2010,0,76
USC00519397,11/9/2010,0,73
USC00519397,11/10/2010,0.23,73
USC00519397,11/11/2010,0,77
USC00519397,11/12/2010,0,77
USC00519397,11/13/2010,0,76
USC00519397,11/16/2010,0,73
USC00519397,11/17/2010,0,73
USC00519397,11/19/2010,,72
USC00519397,11/20/2010,0.03,69
USC00519397,11/21/2010,0,69
USC00519397,11/22/2010,0,68
USC00519397,11/23/2010,0,69
USC00519397,11/24/2010,0,76
USC00519397,11/25/2010,0,76
USC00519397,11/27/2010,0,75
USC00519397,11/28/2010,0,74
USC00519397,11/29/2010,0,69
USC00519397,11/30/2010,0,74
USC00519397,12/1/2010,0.04,76
USC00519397,12/3/2010,0,74
USC00519397,12/4/2010,0,74
USC00519397,12/6/2010,0,64
USC00519397,12/7/2010,0,64
USC00519397,12/8/2010,0,67
USC00519397,12/9/2010,0,77
USC00519397,12/10/2010,1.58,66
USC00519397,12/11/2010,0.77,69
USC00519397,12/12/2010,0,68
USC00519397,12/13/2010,0,68
USC00519397,12/14/2010,0,71
USC00519397,12/15/2010,0,74
USC00519397,12/16/2010,0,67
USC00519397,12/17/2010,0,66
USC00519397,12/18/2010,0,69
USC00519397,12/19/2010,1.4,71
USC00519397,12/23/2010,0,70
USC00519397,12/24/2010,0,70
USC00519397,12/26/2010,,74
USC00519397,12/27/2010,0.13,74
USC00519397,12/28/2010,0.55,71
USC00519397,12/29/2010,0.06,75
USC00519397,12/30/2010,0.01,75
USC00519397,12/31/2010,0,72
USC00519397,1/1/2011,0,69
USC00519397,1/2/2011,0,72
USC00519397,1/3/2011,0,74
USC00519397,1/4/2011,0,73
USC00519397,1/5/2011,0,64
USC00519397,1/6/2011,0.01,65
USC00519397,1/7/2011,0,68
USC00519397,1/8/2011,0,62
USC00519397,1/9/2011,0,58
USC00519397,1/10/2011,0,73
USC00519397,1/11/2011,0.09,60
USC00519397,1/13/2011,,68
USC00519397,1/14/2011,0.03,76
USC00519397,1/15/2011,0,68
USC00519397,1/16/2011,0,66
USC00519397,1/17/2011,0,64
USC00519397,1/18/2011,0,64
USC00519397,1/19/2011,0.03,64
USC00519397,1/20/2011,0,76
USC00519397,1/21/2011,0,75
USC00519397,1/22/2011,0,68
USC00519397,1/23/2011,0,68
USC00519397,1/24/2011,0,72
USC00519397,1/25/2011,0,63
USC00519397,1/27/2011,0,68
USC00519397,1/28/2011,0,75
USC00519397,1/29/2011,0,65
USC00519397,1/30/2011,0,64
USC00519397,1/31/2011,0.22,68
USC00519397,2/1/2011,0,68
USC00519397,2/2/2011,0,66
USC00519397,2/3/2011,0,67
USC00519397,2/4/2011,0,64
USC00519397,2/5/2011,0,65
USC00519397,2/6/2011,0,75
USC00519397,2/7/2011,1.29,68
USC00519397,2/8/2011,1.3,71
USC00519397,2/9/2011,0,71
USC00519397,2/10/2011,0.29,71
USC00519397,2/12/2011,,68
USC00519397,2/13/2011,0,68
USC00519397,2/14/2011,0.04,72
USC00519397,2/15/2011,0.05,70
USC00519397,2/16/2011,0,74
USC00519397,2/19/2011,0,67
USC00519397,2/20/2011,1.72,71
USC00519397,2/21/2011,0,71
USC00519397,2/22/2011,0.82,71
USC00519397,2/23/2011,0,74
USC00519397,2/24/2011,0.2,68
USC00519397,2/25/2011,0,71
USC00519397,2/26/2011,0,69
USC00519397,2/27/2011,0,69
USC00519397,2/28/2011,0,68
USC00519397,3/1/2011,0.1,68
USC00519397,3/2/2011,0,72
USC00519397,3/3/2011,0,74
USC00519397,3/4/2011,0.88,72
USC00519397,3/5/2011,0.4,69
USC00519397,3/6/2011,0.03,70
USC00519397,3/8/2011,,72
USC00519397,3/9/2011,0.2,71
USC00519397,3/10/2011,0.15,71
USC00519397,3/12/2011,0,72
USC00519397,3/13/2011,0,70
USC00519397,3/14/2011,0,71
USC00519397,3/16/2011,0,76
USC00519397,3/17/2011,0.01,73
USC00519397,3/18/2011,0.05,74
USC00519397,3/19/2011,0.01,74
USC00519397,3/20/2011,0.02,74
USC00519397,3/21/2011,0,74
USC00519397,3/22/2011,0.02,74
USC00519397,3/23/2011,0,74
USC00519397,3/24/2011,0.06,73
USC00519397,3/25/2011,0,74
USC00519397,3/26/2011,0,74
USC00519397,3/27/2011,0,73
USC00519397,3/28/2011,0.04,74
USC00519397,3/30/2011,0,75
USC00519397,3/31/2011,0,74
USC00519397,4/1/2011,0.05,74
USC00519397,4/2/2011,0.04,75
USC00519397,4/3/2011,0,74
USC00519397,4/4/2011,0,75
USC00519397,4/5/2011,0,74
USC00519397,4/6/2011,0.09,70
USC00519397,4/7/2011,1.11,70
USC00519397,4/8/2011,0.36,70
USC00519397,4/9/2011,0.02,76
USC00519397,4/10/2011,0,76
USC00519397,4/11/2011,0,76
USC00519397,4/12/2011,0,76
USC00519397,4/13/2011,0,70
USC00519397,4/15/2011,0,77
USC00519397,4/16/2011,0.12,74
USC00519397,4/17/2011,0,73
USC00519397,4/18/2011,0,76
USC00519397,4/19/2011,0,76
USC00519397,4/20/2011,0,74
USC00519397,4/21/2011,0,77
USC00519397,4/22/2011,0,77
USC00519397,4/23/2011,0,78
USC00519397,4/24/2011,0,77
USC00519397,4/25/2011,0,77
USC00519397,4/26/2011,0,76
USC00519397,4/27/2011,0,77
USC00519397,4/29/2011,0,78
USC00519397,4/30/2011,0.04,76
USC00519397,5/1/2011,0,77
USC00519397,5/2/2011,0,77
USC00519397,5/3/2011,2.1,70
USC00519397,5/4/2011,0.02,76
USC00519397,5/5/2011,0.12,74
USC00519397,5/6/2011,0.12,72
USC00519397,5/7/2011,0.55,74
USC00519397,5/8/2011,0.55,73
USC00519397,5/9/2011,0.02,75
USC00519397,5/10/2011,0.11,75
USC00519397,5/11/2011,0.1,75
USC00519397,5/12/2011,0,76
USC00519397,5/13/2011,0,77
USC00519397,5/14/2011,0,78
USC00519397,5/15/2011,0,77
USC00519397,5/16/2011,0,78
USC00519397,5/17/2011,0,77
USC00519397,5/18/2011,0,76
USC00519397,5/19/2011,0.01,77
USC00519397,5/20/2011,0,79
USC00519397,5/21/2011,0,77
USC00519397,5/22/2011,0.06,74
USC00519397,5/23/2011,0.02,78
USC00519397,5/24/2011,0,77
USC00519397,5/25/2011,0,79
USC00519397,5/26/2011,0,78
USC00519397,5/27/2011,0,78
USC00519397,5/28/2011,0,77
USC00519397,5/29/2011,0,78
USC00519397,5/30/2011,0,78
USC00519397,5/31/2011,0.05,73
USC00519397,6/1/2011,0.07,77
USC00519397,6/2/2011,0,78
USC00519397,6/3/2011,0.56,73
USC00519397,6/4/2011,0.89,70
USC00519397,6/5/2011,0,76
USC00519397,6/6/2011,0,77
USC00519397,6/7/2011,0,77
USC00519397,6/8/2011,0.03,77
USC00519397,6/9/2011,0.01,77
USC00519397,6/10/2011,0,78
USC00519397,6/11/2011,0,77
USC00519397,6/12/2011,0,77
USC00519397,6/13/2011,0,78
USC00519397,6/14/2011,0,78
USC00519397,6/15/2011,0,77
USC00519397,6/17/2011,0,78
USC00519397,6/18/2011,0,78
USC00519397,6/19/2011,0.05,75
USC00519397,6/20/2011,0.06,76
USC00519397,6/21/2011,0.07,76
USC00519397,6/24/2011,,77
USC00519397,6/25/2011,0,78
USC00519397,6/26/2011,0,76
USC00519397,6/27/2011,0.01,77
USC00519397,6/28/2011,0.01,75
USC00519397,6/29/2011,0,77
USC00519397,7/1/2011,0.05,77
USC00519397,7/2/2011,0.02,78
USC00519397,7/3/2011,0,78
USC00519397,7/4/2011,0,78
USC00519397,7/5/2011,0.01,78
USC00519397,7/6/2011,0.01,76
USC00519397,7/7/2011,0.01,76
USC00519397,7/8/2011,0,77
USC00519397,7/9/2011,0.03,77
USC00519397,7/10/2011,0.02,77
USC00519397,7/11/2011,0,78
USC00519397,7/12/2011,0,77
USC00519397,7/13/2011,0.15,73
USC00519397,7/14/2011,0,77
USC00519397,7/15/2011,0,79
USC00519397,7/16/2011,0,78
USC00519397,7/17/2011,0.04,77
USC00519397,7/18/2011,0,78
USC00519397,7/19/2011,0,78
USC00519397,7/20/2011,0,76
USC00519397,7/21/2011,0.03,77
USC00519397,7/23/2011,0,78
USC00519397,7/24/2011,0,77
USC00519397,7/25/2011,0,78
USC00519397,7/26/2011,0,78
USC00519397,7/27/2011,0.04,77
USC00519397,7/28/2011,0.09,77
USC00519397,7/29/2011,0.04,78
USC00519397,7/30/2011,0.12,80
USC00519397,7/31/2011,0,77
USC00519397,8/1/2011,0,78
USC00519397,8/2/2011,0,77
USC00519397,8/3/2011,0,78
USC00519397,8/4/2011,0.02,76
USC00519397,8/5/2011,0.03,78
USC00519397,8/6/2011,0.01,77
USC00519397,8/7/2011,0,78
USC00519397,8/8/2011,0,78
USC00519397,8/9/2011,0,79
USC00519397,8/11/2011,0,78
USC00519397,8/12/2011,0,78
USC00519397,8/13/2011,0,76
USC00519397,8/14/2011,0,78
USC00519397,8/15/2011,0,77
USC00519397,8/16/2011,0,79
USC00519397,8/17/2011,0.02,77
USC00519397,8/18/2011,0,77
USC00519397,8/19/2011,0,78
USC00519397,8/20/2011,0.07,77
USC00519397,8/21/2011,0,77
USC00519397,8/22/2011,0,78
USC00519397,8/23/2011,0,78
USC00519397,8/24/2011,0,79
USC00519397,8/25/2011,0,78
USC00519397,8/26/2011,0,78
USC00519397,8/27/2011,0,79
USC00519397,8/28/2011,0.05,76
USC00519397,8/29/2011,0.1,76
USC00519397,8/30/2011,0.02,78
USC00519397,8/31/2011,0,79
USC00519397,9/2/2011,0,79
USC00519397,9/3/2011,0,78
USC00519397,9/4/2011,0.03,77
USC00519397,9/5/2011,0,77
USC00519397,9/6/2011,0,73
USC00519397,9/7/2011,0,73
USC00519397,9/8/2011,0,77
USC00519397,9/9/2011,0,79
USC00519397,9/10/2011,0,77
USC00519397,9/11/2011,0,77
USC00519397,9/12/2011,0,85
USC00519397,9/13/2011,0.01,77
USC00519397,9/14/2011,0,76
USC00519397,9/15/2011,0,79
USC00519397,9/16/2011,0,79
USC00519397,9/17/2011,0.02,77
USC00519397,9/18/2011,0.04,77
USC00519397,9/19/2011,0,82
USC00519397,9/20/2011,0,80
USC00519397,9/21/2011,0,79
USC00519397,9/22/2011,0.03,78
USC00519397,9/23/2011,0,76
USC00519397,9/24/2011,0,77
USC00519397,9/25/2011,0,74
USC00519397,9/26/2011,0,77
USC00519397,9/27/2011,0,78
USC00519397,9/28/2011,0,77
USC00519397,10/1/2011,0,78
USC00519397,10/2/2011,0,78
USC00519397,10/3/2011,0,80
USC00519397,10/5/2011,,79
USC00519397,10/6/2011,0,75
USC00519397,10/7/2011,0.03,78
USC00519397,10/8/2011,0,79
USC00519397,10/9/2011,0,78
USC00519397,10/10/2011,0.02,77
USC00519397,10/11/2011,0.03,78
USC00519397,10/12/2011,0,77
USC00519397,10/13/2011,0,77
USC00519397,10/14/2011,0.03,78
USC00519397,10/15/2011,0.02,77
USC00519397,10/16/2011,0,76
USC00519397,10/17/2011,0.02,77
USC00519397,10/18/2011,0.01,76
USC00519397,10/19/2011,0,74
USC00519397,10/20/2011,0,78
USC00519397,10/21/2011,0,76
USC00519397,10/22/2011,0,77
USC00519397,10/23/2011,0,75
USC00519397,10/24/2011,0.14,74
USC00519397,10/25/2011,1.6,77
USC00519397,10/26/2011,0.01,76
USC00519397,10/27/2011,0,77
USC00519397,10/28/2011,0.05,73
USC00519397,10/29/2011,0.01,76
USC00519397,10/30/2011,0,75
USC00519397,10/31/2011,0.03,76
USC00519397,11/1/2011,0.58,71
USC00519397,11/2/2011,0.28,77
USC00519397,11/3/2011,0.02,77
USC00519397,11/4/2011,0.01,75
USC00519397,11/5/2011,0,76
USC00519397,11/6/2011,0,77
USC00519397,11/7/2011,0,78
USC00519397,11/8/2011,0,76
USC00519397,11/9/2011,0.02,76
USC00519397,11/10/2011,0,76
USC00519397,11/11/2011,0.05,74
USC00519397,11/12/2011,0,75
USC00519397,11/13/2011,0,76
USC00519397,11/14/2011,0,73
USC00519397,11/15/2011,0,71
USC00519397,11/16/2011,0,75
USC00519397,11/17/2011,0,76
USC00519397,11/18/2011,0,78
USC00519397,11/19/2011,0,76
USC00519397,11/20/2011,0,75
USC00519397,11/21/2011,0.01,76
USC00519397,11/22/2011,0.02,73
USC00519397,11/23/2011,0.01,75
USC00519397,11/24/2011,0,73
USC00519397,11/25/2011,0.01,70
USC00519397,11/26/2011,0.02,75
USC00519397,11/27/2011,0.07,73
USC00519397,11/28/2011,0,72
USC00519397,11/29/2011,0,72
USC00519397,11/30/2011,0.02,66
USC00519397,12/1/2011,0.03,69
USC00519397,12/2/2011,0.08,68
USC00519397,12/3/2011,0,73
USC00519397,12/4/2011,0,74
USC00519397,12/5/2011,0,73
USC00519397,12/6/2011,0,73
USC00519397,12/7/2011,0,73
USC00519397,12/8/2011,0,73
USC00519397,12/9/2011,0.13,71
USC00519397,12/10/2011,0.07,73
USC00519397,12/11/2011,0.07,73
USC00519397,12/12/2011,0.08,77
USC00519397,12/13/2011,0.4,72
USC00519397,12/14/2011,0.7,71
USC00519397,12/15/2011,0,73
USC00519397,12/16/2011,0.01,70
USC00519397,12/17/2011,0.07,73
USC00519397,12/18/2011,0.02,69
USC00519397,12/19/2011,0.15,74
USC00519397,12/20/2011,0.02,72
USC00519397,12/21/2011,0.18,71
USC00519397,12/22/2011,0.03,72
USC00519397,12/23/2011,0.04,72
USC00519397,12/24/2011,0.1,70
USC00519397,12/25/2011,0.03,73
USC00519397,12/26/2011,0,73
USC00519397,12/27/2011,0,72
USC00519397,12/28/2011,0,73
USC00519397,12/29/2011,0,73
USC00519397,12/30/2011,0,72
USC00519397,12/31/2011,0.01,63
USC00519397,1/1/2012,0,63
USC00519397,1/2/2012,0,66
USC00519397,1/3/2012,0,66
USC00519397,1/4/2012,0,74
USC00519397,1/6/2012,0,71
USC00519397,1/7/2012,0,65
USC00519397,1/8/2012,0,61
USC00519397,1/10/2012,0,71
USC00519397,1/11/2012,0,65
USC00519397,1/12/2012,0,66
USC00519397,1/14/2012,0,61
USC00519397,1/15/2012,0,74
USC00519397,1/16/2012,0.04,75
USC00519397,1/17/2012,0,75
USC00519397,1/18/2012,0,75
USC00519397,1/19/2012,0.02,68
USC00519397,1/20/2012,0,73
USC00519397,1/21/2012,0,74
USC00519397,1/22/2012,0,74
USC00519397,1/23/2012,0,67
USC00519397,1/24/2012,0,66
USC00519397,1/25/2012,0,69
USC00519397,1/26/2012,0,74
USC00519397,1/27/2012,0.04,68
USC00519397,1/28/2012,0.03,72
USC00519397,1/29/2012,1.03,72
USC00519397,1/30/2012,0.01,71
USC00519397,1/31/2012,0,71
USC00519397,2/1/2012,0,66
USC00519397,2/2/2012,0,72
USC00519397,2/3/2012,0,63
USC00519397,2/4/2012,0,65
USC00519397,2/5/2012,0,69
USC00519397,2/6/2012,0,71
USC00519397,2/7/2012,0.37,71
USC00519397,2/8/2012,0.28,65
USC00519397,2/9/2012,0.01,61
USC00519397,2/10/2012,0,71
USC00519397,2/11/2012,0,72
USC00519397,2/12/2012,0,72
USC00519397,2/13/2012,0.04,72
USC00519397,2/14/2012,0.01,65
USC00519397,2/15/2012,0,66
USC00519397,2/16/2012,0,73
USC00519397,2/17/2012,0,73
USC00519397,2/18/2012,0.04,71
USC00519397,2/19/2012,0.01,72
USC00519397,2/20/2012,0,73
USC00519397,2/21/2012,0,72
USC00519397,2/22/2012,0,73
USC00519397,2/23/2012,0,77
USC00519397,2/24/2012,0,67
USC00519397,2/25/2012,0,69
USC00519397,2/26/2012,0.05,73
USC00519397,2/27/2012,0.06,72
USC00519397,2/28/2012,0,73
USC00519397,2/29/2012,0,74
USC00519397,3/1/2012,0.06,73
USC00519397,3/2/2012,0,67
USC00519397,3/3/2012,0.03,71
USC00519397,3/4/2012,0.01,72
USC00519397,3/5/2012,1.08,67
USC00519397,3/6/2012,4,69
USC00519397,3/7/2012,2.42,67
USC00519397,3/8/2012,0.02,69
USC00519397,3/9/2012,0.19,66
USC00519397,3/10/2012,0.06,73
USC00519397,3/11/2012,0,74
USC00519397,3/12/2012,0.03,71
USC00519397,3/13/2012,0,72
USC00519397,3/14/2012,0,73
USC00519397,3/15/2012,0,71
USC00519397,3/16/2012,0.05,72
USC00519397,3/17/2012,0,73
USC00519397,3/18/2012,0,72
USC00519397,3/19/2012,0,73
USC00519397,3/20/2012,0,69
USC00519397,3/21/2012,0,73
USC00519397,3/22/2012,0.03,74
USC00519397,3/23/2012,0.01,72
USC00519397,3/24/2012,0,74
USC00519397,3/25/2012,0,74
USC00519397,3/26/2012,0.11,72
USC00519397,3/27/2012,0.03,70
USC00519397,3/28/2012,0.02,71
USC00519397,3/29/2012,0,72
USC00519397,3/30/2012,0,73
USC00519397,3/31/2012,0,74
USC00519397,4/1/2012,0,73
USC00519397,4/2/2012,0,74
USC00519397,4/3/2012,0,75
USC00519397,4/4/2012,0,74
USC00519397,4/5/2012,0.19,74
USC00519397,4/6/2012,0,74
USC00519397,4/7/2012,0.03,74
USC00519397,4/8/2012,0,74
USC00519397,4/9/2012,0.07,72
USC00519397,4/10/2012,0.05,69
USC00519397,4/11/2012,0.06,71
USC00519397,4/12/2012,0,70
USC00519397,4/13/2012,0.03,71
USC00519397,4/14/2012,0,70
USC00519397,4/15/2012,0.01,75
USC00519397,4/16/2012,0.01,75
USC00519397,4/17/2012,0,75
USC00519397,4/18/2012,0,75
USC00519397,4/19/2012,0,75
USC00519397,4/20/2012,0,75
USC00519397,4/21/2012,0.01,74
USC00519397,4/22/2012,0.04,69
USC00519397,4/23/2012,0.03,73
USC00519397,4/24/2012,0,73
USC00519397,4/25/2012,0,75
USC00519397,4/26/2012,0,74
USC00519397,4/27/2012,0,75
USC00519397,4/28/2012,0,76
USC00519397,4/29/2012,0,75
USC00519397,4/30/2012,0,75
